17624.6923	10029.2308	10225.1346	10223.9423	15476.9038
1129.8654	1057.3077	961.2308	604.0385	1086.25
1334.2115	1073.9808	1408.0769	1129.5192	1642.1154
1976.6923	1279.0192	1889.3077	1273.9808	2018.9231
2167.6346	1301.9423	1719.4423	1211.6154	1842.8846
2416.8462	1554.6923	2173.4231	1677.9808	1989.25
2440.6731	1652.5962	2379.3462	1843	2785.1346
2621.3846	1910.8269	2640.8269	2160.7115	2217.5
2817.4038	2048.9038	2853.5962	2045.7885	2957.8077
2446.5	2555.3077	2973.75	2192.5962	2450.1346
2690.0962	2201.5577	2674.9038	2569.7308	2603.5192
2995.7308	2680.8462	2731.5577	2417.7115	3175.0769
2353.4231	2183.9231	3184.8654	2285.0577	3042.1538
2024.9615	2320.5192	3171.9423	2720.6731	3679.5385
2223.4231	2141.1538	3368.3077	2221.9038	3800.5769
2160.4808	2398.3269	3293.8269	3336.8077	3786.5769
3119.2115	2243.8846	3107.5769	2986.3077	4134.7308
2619.0962	2724.2885	3938.9423	3936.3269	4329.6731
2519.6923	3160.9423	4180.0962	4104.9808	4392.9231
2713.3077	3106.7692	3660.0962	3919.0962	3181.9038
3272.6731	2982.1346	4127.3846	3724.8269	4847.3462
3831.8846	3214.5192	3815.9808	3897.1346	3465.1346
4329.8269	3751.9038	3962.1154	3984.1731	4962.7692
4735.1538	3825.7692	4053.7885	4033.6538	4605.0962
4711.1923	4321.1538	4113.5577	3955.4423	5078.0769
4683.3269	4048	4655.9231	3841.5385	4251.8654
5802.7692	3971.0192	4321.4038	3662.3269	4173.4231
5646	3957.1154	4778.3462	3562.3462	5175.5
5583.25	4853.2308	4190.2308	3286.4615	5835.4231
5237.9808	4383.1346	3897.6538	3894.8077	5425.3077
4753.5962	4221.9423	4386	3624.2692	6657.4423
