4876.7115	8261	17435.6538	8767.6923	9893.5385
375.0962	463.2308	995.2115	511.8462	723.3654
562.7885	806.8269	881.5577	530.9038	693.9231
518.4423	685.6731	981.5	800.1923	643.2692
595.0962	747.0577	1552.4038	1057.6731	637.2692
915.7308	704.2692	1448.8077	726.3077	707.4038
590.4038	1054.9423	1064.5385	667.8077	628.4615
651.3077	1072.5577	1272.4808	588.9038	689.5385
924.4808	987.8077	1156.7692	687.9808	786.1538
546.25	893.3654	1438.2308	830.9615	845.0577
613.4038	1217.0962	1343.6538	725.1923	631.3462
522.3654	1064.3846	1109.2885	797	788.7115
517.2885	766.0385	1107.6154	713.7692	731.3462
621.0577	874	1227.0385	609.4038	612.4615
504.2308	750.8846	1234	728.7692	795.3654
571.3077	886.2115	1498.7115	964.3846	770.1923
534.8462	857.6538	1442.3846	889.9615	670.5577
564.6346	958.5385	1191.8077	1206.0192	631.1154
423.8077	1226.5962	1337.9615	897.1346	718.1154
510.0769	1105.6731	1405.0962	958.1538	816.75
489.8654	1159.9423	1036.6923	980.3846	695.4423
534.9808	1237.9038	1062.8846	984	837.0385
494.3077	1003.1731	1559.7885	1151.75	865.9808
423.9038	1358.0192	1157.6731	906.5192	792
440.9615	1095.9231	760.9038	1140.5	899.3077
396.3846	1336.1538	1081.0962	888.5	607.1731
523.9615	1093.9423	1134.3077	1259.0192	727.75
426.5962	1350.7115	922.3654	1000.8654	768.5962
608.3077	1147.7885	945.6923	1156.3077	828.8846
609.7692	1281.9231	828.5962	1073.2308	729.4423
555.5	1428.8269	940.3846	902.9038	755.8654
