Control Mutant1 Mutant2
0.0643125867698944 0.0785604482900603 0.119407022723044
0.078864439082471 0.107414525499861 0.196415972324569
0.0803777741260712 0.135901972141034 0.270524139903003
0.0973083780304898 0.131708508465452 0.327145741430286
0.102092764303769 0.159470870406852 0.379211308717634
0.0899024104409629 0.179234302235511 0.411693155419431
0.094646686516699 0.190428797262438 0.422930023688294
0.106683892872183 0.206886845910445 0.48472421848157
0.0965665816869193 0.211438104909072 0.516866009361514
0.0993404157774408 0.210662249047359 0.547017376264002
0.094040482679896 0.229208618924052 0.566582834618008
0.0835318477046211 0.21656427541348 0.551591330962583
0.0869872265380967 0.232066242888858 0.569548058461416
0.0857155101927445 0.226389542071817 0.573831257893918
0.0996448878972653 0.250975696375442 0.596968195067105
0.0931002571617449 0.252774830019344 0.57895280588395
0.100302308799215 0.294044293505109 0.619081770370558
0.0974057826113313 0.310457335832456 0.652545633567822
0.102172139047709 0.282117473930971 0.701221022725738
0.096486083042905 0.312840928386782 0.654309833252066
0.103469094576934 0.303238966783199 0.664588411447816
0.106229659121845 0.343519978359408 0.673990579278066
0.100231115964909 0.347731523529407 0.707458669754028
0.0975406369788904 0.363089611683969 0.69190363626188
0.0935474088262108 0.355029843702912 0.686733492200536
0.10441530504949 0.355135356301649 0.695265772587105
0.0991444788919758 0.373010254415796 0.714569366405531
0.106716015559086 0.381795937225592 0.695439082824088
0.104774875382162 0.369381411355373 0.729973357713738
0.104036902929409 0.380852163110912 0.711337358088451
