Control Mutant1 Mutant2
0.00989601519296075 0.0201163276931394 0.027848293167144
0.0269313741049296 0.0219920902217802 0.0318099614055128
0.0200865998872536 0.0281936469286247 0.0396627175133745
0.0242536095341092 0.0208694323847232 0.0538408643546271
0.0481993878158409 0.0328485962266431 0.0835135244628179
0.0320806290580193 0.034385987422132 0.0948805686744077
0.0339079699973653 0.047437024528844 0.111745855642923
0.0504995406753072 0.0439460114956703 0.0989190675717863
0.013213009279088 0.0638126623343735 0.138623918994875
0.0354862637872378 0.0487262546034924 0.10034662876753
0.0251120956871932 0.0419242129194035 0.110205355117705
0.0165061522030229 0.0639379951337662 0.0936111136623786
0.0282569648683079 0.0725043417730054 0.107615682929498
0.0122241786098441 0.0729341583052932 0.105972747413478
0.0168391716414485 0.0827835930656131 0.100432087734013
0.01738594353351 0.0523356114937857 0.0871929397727938
0.0325129704533404 0.0980403071476813 0.0486261961918725
0.0307667388293415 0.108105726888161 0.0739299984946945
0.021852958676112 0.0987952021476534 0.103517691139866
0.0325477107564583 0.0826217103401106 0.0852954980984563
0.0332774836645829 0.0789440241524283 0.0968399744986241
0.0194775246487975 0.0614360268692107 0.0752412718778396
0.038259890034504 0.0601489582985546 0.107981481748022
0.0363741989267293 0.0653717343614069 0.091135758766638
0.0415089744478317 0.0825782752141575 0.0379207868312725
0.0347493500136417 0.0595970089353168 0.0948081962472372
0.0421382840892728 0.0596358261314403 0.10909470292878
0.0363195472403314 0.069104863635856 0.0851330415461411
0.0433113980181971 0.0510293195912611 0.0496082969135987
0.0450640678242435 0.0696408506341417 0.05654431902493
